Algo;Problème;Seed;N;K;Cout;Temps;
gfs;dum;100;1000;2;23311,451994;63;
gfs;dum;100;2000;2;11379,238311;250;
gfs;dum;100;3000;2;4103,633748;16;
gfs;dum;100;4000;2;16207,057525;560;
gfs;dum;100;5000;2;48504,532064;2266;
gfs;dum;100;6000;2;8347,505635;2881;
gfs;dum;100;7000;2;43406,536226;9594;
gfs;dum;100;8000;2;38534,703839;6430;
gfs;dum;100;9000;2;39363,884376;3807;
gfs;dum;100;10000;2;25966,854072;44297;
