Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Sigmoïde;OR;153;0,520799;119600;
Sigmoïde;OR;154;0,514419;124600;
Sigmoïde;OR;155;0,508166;126700;
Sigmoïde;OR;156;0,502035;127400;
Sigmoïde;OR;157;0,496024;135800;
Sigmoïde;OR;158;0,490128;128700;
Sigmoïde;OR;159;0,484345;124500;
Sigmoïde;OR;160;0,478672;125600;
Sigmoïde;OR;161;0,473105;132600;
Sigmoïde;OR;162;0,467642;126800;
Sigmoïde;OR;163;0,462280;139300;
Sigmoïde;OR;164;0,457017;132900;
Sigmoïde;OR;165;0,451849;135000;
Sigmoïde;OR;166;0,446775;129700;
Sigmoïde;OR;167;0,441791;137600;
Sigmoïde;OR;168;0,436897;132200;
Sigmoïde;OR;169;0,432088;132500;
Sigmoïde;OR;170;0,427364;143400;
Sigmoïde;OR;171;0,422721;134100;
Sigmoïde;OR;172;0,418159;139200;
Sigmoïde;OR;173;0,413675;135500;
Sigmoïde;OR;174;0,409267;144400;
Sigmoïde;OR;175;0,404933;137500;
Sigmoïde;OR;176;0,400672;143600;
Sigmoïde;OR;177;0,396482;138600;
Sigmoïde;OR;178;0,392361;146300;
Sigmoïde;OR;179;0,388307;140600;
Sigmoïde;OR;180;0,384320;145100;
Sigmoïde;OR;181;0,380397;143600;
Sigmoïde;OR;182;0,376536;146600;
Sigmoïde;OR;183;0,372738;143800;
Sigmoïde;OR;184;0,368999;152300;
Sigmoïde;OR;185;0,365320;144800;
Sigmoïde;OR;186;0,361697;149300;
Sigmoïde;OR;187;0,358131;149700;
Sigmoïde;OR;188;0,354621;154300;
Sigmoïde;OR;189;0,351163;149000;
Sigmoïde;OR;190;0,347759;151200;
Sigmoïde;OR;191;0,344406;150200;
Sigmoïde;OR;192;0,341103;154400;
Sigmoïde;OR;193;0,337850;157500;
Sigmoïde;OR;194;0,334645;156100;
Sigmoïde;OR;195;0,331487;154000;
Sigmoïde;OR;196;0,328375;157900;
Sigmoïde;OR;197;0,325309;177700;
