Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Sigmoïde;AND;153;33,449120;645500;
Sigmoïde;AND;154;33,449027;649100;
Sigmoïde;AND;155;33,448934;669800;
Sigmoïde;AND;156;33,448842;682000;
Sigmoïde;AND;157;33,448750;696600;
Sigmoïde;AND;158;33,448658;609200;
Sigmoïde;AND;159;33,448566;198600;
Sigmoïde;AND;160;33,448475;184800;
Sigmoïde;AND;161;33,448384;173000;
Sigmoïde;AND;162;33,448293;175600;
Sigmoïde;AND;163;33,448203;172300;
Sigmoïde;AND;164;33,448112;178800;
Sigmoïde;AND;165;33,448022;177300;
Sigmoïde;AND;166;33,447933;177100;
Sigmoïde;AND;167;33,447844;179700;
Sigmoïde;AND;168;33,447755;179300;
Sigmoïde;AND;169;33,447666;177000;
Sigmoïde;AND;170;33,447577;183100;
Sigmoïde;AND;171;33,447489;181300;
Sigmoïde;AND;172;33,447402;185200;
Sigmoïde;AND;173;33,447314;215400;
Sigmoïde;AND;174;33,447227;186200;
Sigmoïde;AND;175;33,447140;181100;
Sigmoïde;AND;176;33,447054;184100;
Sigmoïde;AND;177;33,446968;189400;
Sigmoïde;AND;178;33,446882;187000;
Sigmoïde;AND;179;33,446796;187400;
Sigmoïde;AND;180;33,446711;188800;
Sigmoïde;AND;181;33,446626;185800;
Sigmoïde;AND;182;33,446542;190100;
Sigmoïde;AND;183;33,446458;192600;
Sigmoïde;AND;184;33,446374;187900;
Sigmoïde;AND;185;33,446291;195100;
Sigmoïde;AND;186;33,446208;194100;
Sigmoïde;AND;187;33,446125;191100;
Sigmoïde;AND;188;33,446043;210800;
Sigmoïde;AND;189;33,445961;318100;
Sigmoïde;AND;190;33,445879;216400;
Sigmoïde;AND;191;33,445798;198900;
Sigmoïde;AND;192;33,445717;199500;
Sigmoïde;AND;193;33,445636;200300;
Sigmoïde;AND;194;33,445556;213700;
Sigmoïde;AND;195;33,445476;224900;
Sigmoïde;AND;196;33,445396;207800;
Sigmoïde;AND;197;33,445317;209000;
Sigmoïde;AND;198;33,445238;202300;
Sigmoïde;AND;199;33,445160;211800;
Sigmoïde;AND;200;33,445082;214900;
Sigmoïde;AND;201;33,445004;210100;
Sigmoïde;AND;202;33,444927;207300;
Sigmoïde;AND;203;33,444850;212500;
Sigmoïde;AND;204;33,444773;211800;
Sigmoïde;AND;205;33,444697;217700;
Sigmoïde;AND;206;33,444621;223800;
Sigmoïde;AND;207;33,444546;218400;
Sigmoïde;AND;208;33,444470;216200;
Sigmoïde;AND;209;33,444396;218900;
Sigmoïde;AND;210;33,444321;217800;
Sigmoïde;AND;211;33,444247;215900;
Sigmoïde;AND;212;33,444173;220500;
Sigmoïde;AND;213;33,444100;223200;
Sigmoïde;AND;214;33,444027;244700;
Sigmoïde;AND;215;33,443954;252700;
Sigmoïde;AND;216;33,443882;232000;
Sigmoïde;AND;217;33,443810;226600;
Sigmoïde;AND;218;33,443739;240500;
Sigmoïde;AND;219;33,443668;242800;
Sigmoïde;AND;220;33,443597;234400;
Sigmoïde;AND;221;33,443526;235900;
Sigmoïde;AND;222;33,443456;239400;
Sigmoïde;AND;223;33,443387;239200;
Sigmoïde;AND;224;33,443317;239300;
Sigmoïde;AND;225;33,443248;241000;
Sigmoïde;AND;226;33,443180;239900;
Sigmoïde;AND;227;33,443111;242400;
Sigmoïde;AND;228;33,443043;242200;
Sigmoïde;AND;229;33,442976;240000;
Sigmoïde;AND;230;33,442909;247300;
Sigmoïde;AND;231;33,442842;244900;
Sigmoïde;AND;232;33,442775;256200;
Sigmoïde;AND;233;33,442709;253100;
Sigmoïde;AND;234;33,442643;253000;
Sigmoïde;AND;235;33,442578;249400;
Sigmoïde;AND;236;33,442513;260500;
Sigmoïde;AND;237;33,442448;255400;
Sigmoïde;AND;238;33,442383;252400;
Sigmoïde;AND;239;33,442319;254200;
Sigmoïde;AND;240;33,442256;258000;
Sigmoïde;AND;241;33,442192;255700;
Sigmoïde;AND;242;33,442129;259600;
Sigmoïde;AND;243;33,442067;260000;
Sigmoïde;AND;244;33,442004;262200;
Sigmoïde;AND;245;33,441942;266200;
Sigmoïde;AND;246;33,441881;258900;
Sigmoïde;AND;247;33,441819;271100;
Sigmoïde;AND;248;33,441758;277800;
Sigmoïde;AND;249;33,441698;317200;
Sigmoïde;AND;250;33,441637;258000;
Sigmoïde;AND;251;33,441577;196500;
Sigmoïde;AND;252;33,441518;193100;
Sigmoïde;AND;253;33,441458;219500;
Sigmoïde;AND;254;33,441399;216600;
Sigmoïde;AND;255;33,441341;193700;
Sigmoïde;AND;256;33,441282;189800;
Sigmoïde;AND;257;33,441224;190400;
Sigmoïde;AND;258;33,441167;202600;
Sigmoïde;AND;259;33,441109;203700;
Sigmoïde;AND;260;33,441052;196100;
Sigmoïde;AND;261;33,440995;195900;
Sigmoïde;AND;262;33,440939;196900;
Sigmoïde;AND;263;33,440883;203700;
Sigmoïde;AND;264;33,440827;198300;
Sigmoïde;AND;265;33,440772;198400;
Sigmoïde;AND;266;33,440716;204200;
Sigmoïde;AND;267;33,440662;205100;
Sigmoïde;AND;268;33,440607;200800;
Sigmoïde;AND;269;33,440553;209700;
Sigmoïde;AND;270;33,440499;215600;
Sigmoïde;AND;271;33,440445;203700;
Sigmoïde;AND;272;33,440392;204400;
Sigmoïde;AND;273;33,440339;202000;
Sigmoïde;AND;274;33,440286;213200;
Sigmoïde;AND;275;33,440234;208200;
Sigmoïde;AND;276;33,440182;208200;
Sigmoïde;AND;277;33,440130;206200;
Sigmoïde;AND;278;33,440078;213800;
Sigmoïde;AND;279;33,440027;208600;
Sigmoïde;AND;280;33,439976;210100;
Sigmoïde;AND;281;33,439925;208200;
Sigmoïde;AND;282;33,439875;213200;
Sigmoïde;AND;283;33,439825;211700;
Sigmoïde;AND;284;33,439775;212300;
Sigmoïde;AND;285;33,439726;209900;
Sigmoïde;AND;286;33,439676;232900;
Sigmoïde;AND;287;33,439627;215100;
Sigmoïde;AND;288;33,439579;227700;
Sigmoïde;AND;289;33,439530;218500;
Sigmoïde;AND;290;33,439482;232400;
Sigmoïde;AND;291;33,439434;225900;
Sigmoïde;AND;292;33,439387;222800;
Sigmoïde;AND;293;33,439340;217900;
Sigmoïde;AND;294;33,439292;220100;
Sigmoïde;AND;295;33,439246;228800;
Sigmoïde;AND;296;33,439199;224100;
Sigmoïde;AND;297;33,439153;221800;
Sigmoïde;AND;298;33,439107;223200;
Sigmoïde;AND;299;33,439061;225100;
Sigmoïde;AND;300;33,439016;225000;
Sigmoïde;AND;301;33,438971;226300;
Sigmoïde;AND;302;33,438926;231000;
Sigmoïde;AND;303;33,438881;228200;
Sigmoïde;AND;304;33,438837;234600;
Sigmoïde;AND;305;33,438792;233000;
Sigmoïde;AND;306;33,438749;229000;
Sigmoïde;AND;307;33,438705;226100;
Sigmoïde;AND;308;33,438662;244900;
Sigmoïde;AND;309;33,438618;246700;
Sigmoïde;AND;310;33,438575;393300;
Sigmoïde;AND;311;33,438533;259900;
Sigmoïde;AND;312;33,438490;236000;
Sigmoïde;AND;313;33,438448;238000;
Sigmoïde;AND;314;33,438406;241100;
Sigmoïde;AND;315;33,438364;237000;
Sigmoïde;AND;316;33,438323;235100;
Sigmoïde;AND;317;33,438282;252400;
Sigmoïde;AND;318;33,438241;239400;
Sigmoïde;AND;319;33,438200;243600;
Sigmoïde;AND;320;33,438159;241500;
Sigmoïde;AND;321;33,438119;242900;
Sigmoïde;AND;322;33,438079;241600;
Sigmoïde;AND;323;33,438039;241000;
Sigmoïde;AND;324;33,438000;315300;
Sigmoïde;AND;325;33,437960;245400;
Sigmoïde;AND;326;33,437921;250500;
Sigmoïde;AND;327;33,437882;272700;
Sigmoïde;AND;328;33,437843;287000;
Sigmoïde;AND;329;33,437805;283300;
Sigmoïde;AND;330;33,437767;280400;
Sigmoïde;AND;331;33,437729;297900;
Sigmoïde;AND;332;33,437691;286900;
Sigmoïde;AND;333;33,437653;281600;
Sigmoïde;AND;334;33,437616;282700;
Sigmoïde;AND;335;33,437578;267200;
Sigmoïde;AND;336;33,437541;272900;
Sigmoïde;AND;337;33,437505;271000;
Sigmoïde;AND;338;33,437468;249100;
Sigmoïde;AND;339;33,437432;250200;
Sigmoïde;AND;340;33,437395;253700;
Sigmoïde;AND;341;33,437360;251900;
Sigmoïde;AND;342;33,437324;254200;
Sigmoïde;AND;343;33,437288;258300;
Sigmoïde;AND;344;33,437253;254900;
Sigmoïde;AND;345;33,437218;267900;
Sigmoïde;AND;346;33,437183;261800;
Sigmoïde;AND;347;33,437148;258400;
Sigmoïde;AND;348;33,437113;255900;
Sigmoïde;AND;349;33,437079;281300;
Sigmoïde;AND;350;33,437045;271300;
Sigmoïde;AND;351;33,437011;259300;
Sigmoïde;AND;352;33,436977;259500;
Sigmoïde;AND;353;33,436943;261300;
Sigmoïde;AND;354;33,436910;277600;
Sigmoïde;AND;355;33,436877;265500;
Sigmoïde;AND;356;33,436844;262300;
Sigmoïde;AND;357;33,436811;260900;
Sigmoïde;AND;358;33,436778;265300;
Sigmoïde;AND;359;33,436746;268300;
Sigmoïde;AND;360;33,436713;270500;
Sigmoïde;AND;361;33,436681;272100;
Sigmoïde;AND;362;33,436649;287200;
Sigmoïde;AND;363;33,436617;275800;
Sigmoïde;AND;364;33,436586;282000;
Sigmoïde;AND;365;33,436554;290500;
Sigmoïde;AND;366;33,436523;280800;
Sigmoïde;AND;367;33,436492;278900;
Sigmoïde;AND;368;33,436461;276700;
Sigmoïde;AND;369;33,436430;292000;
Sigmoïde;AND;370;33,436400;300500;
Sigmoïde;AND;371;33,436369;290000;
Sigmoïde;AND;372;33,436339;282200;
Sigmoïde;AND;373;33,436309;296400;
Sigmoïde;AND;374;33,436279;283700;
Sigmoïde;AND;375;33,436249;282200;
Sigmoïde;AND;376;33,436220;311500;
Sigmoïde;AND;377;33,436190;282200;
Sigmoïde;AND;378;33,436161;294000;
Sigmoïde;AND;379;33,436132;285100;
Sigmoïde;AND;380;33,436103;279700;
Sigmoïde;AND;381;33,436074;351600;
Sigmoïde;AND;382;33,436046;332900;
Sigmoïde;AND;383;33,436017;283500;
Sigmoïde;AND;384;33,435989;500300;
Sigmoïde;AND;385;33,435961;282100;
Sigmoïde;AND;386;33,435933;289100;
Sigmoïde;AND;387;33,435905;283300;
Sigmoïde;AND;388;33,435877;284000;
Sigmoïde;AND;389;33,435850;283300;
Sigmoïde;AND;390;33,435822;280300;
Sigmoïde;AND;391;33,435795;279300;
Sigmoïde;AND;392;33,435768;281200;
Sigmoïde;AND;393;33,435741;280000;
Sigmoïde;AND;394;33,435714;300800;
Sigmoïde;AND;395;33,435687;287400;
Sigmoïde;AND;396;33,435661;287600;
Sigmoïde;AND;397;33,435635;306200;
Sigmoïde;AND;398;33,435608;285300;
Sigmoïde;AND;399;33,435582;286200;
Sigmoïde;AND;400;33,435556;290500;
Sigmoïde;AND;401;33,435530;298500;
Sigmoïde;AND;402;33,435505;290100;
Sigmoïde;AND;403;33,435479;289100;
Sigmoïde;AND;404;33,435454;290000;
Sigmoïde;AND;405;33,435429;289500;
Sigmoïde;AND;406;33,435404;289800;
Sigmoïde;AND;407;33,435379;296500;
Sigmoïde;AND;408;33,435354;313200;
Sigmoïde;AND;409;33,435329;289600;
Sigmoïde;AND;410;33,435304;289400;
Sigmoïde;AND;411;33,435280;308900;
Sigmoïde;AND;412;33,435256;301400;
Sigmoïde;AND;413;33,435231;306600;
Sigmoïde;AND;414;33,435207;375900;
Sigmoïde;AND;415;33,435183;293400;
Sigmoïde;AND;416;33,435160;289800;
Sigmoïde;AND;417;33,435136;295200;
Sigmoïde;AND;418;33,435112;291100;
Sigmoïde;AND;419;33,435089;299200;
Sigmoïde;AND;420;33,435066;296100;
Sigmoïde;AND;421;33,435042;296800;
Sigmoïde;AND;422;33,435019;316700;
Sigmoïde;AND;423;33,434996;298100;
Sigmoïde;AND;424;33,434973;309900;
Sigmoïde;AND;425;33,434951;319100;
Sigmoïde;AND;426;33,434928;298900;
Sigmoïde;AND;427;33,434906;306200;
Sigmoïde;AND;428;33,434883;301900;
Sigmoïde;AND;429;33,434861;318800;
Sigmoïde;AND;430;33,434839;309600;
Sigmoïde;AND;431;33,434817;322400;
Sigmoïde;AND;432;33,434795;311900;
Sigmoïde;AND;433;33,434773;371900;
Sigmoïde;AND;434;33,434752;321000;
Sigmoïde;AND;435;33,434730;320000;
Sigmoïde;AND;436;33,434709;335400;
Sigmoïde;AND;437;33,434687;306200;
Sigmoïde;AND;438;33,434666;310400;
Sigmoïde;AND;439;33,434645;335900;
Sigmoïde;AND;440;33,434624;311800;
Sigmoïde;AND;441;33,434603;326100;
Sigmoïde;AND;442;33,434582;336800;
Sigmoïde;AND;443;33,434562;330200;
Sigmoïde;AND;444;33,434541;341700;
Sigmoïde;AND;445;33,434521;318100;
Sigmoïde;AND;446;33,434500;318300;
Sigmoïde;AND;447;33,434480;316400;
Sigmoïde;AND;448;33,434460;346800;
Sigmoïde;AND;449;33,434440;320200;
Sigmoïde;AND;450;33,434420;323000;
Sigmoïde;AND;451;33,434400;349100;
Sigmoïde;AND;452;33,434380;337300;
Sigmoïde;AND;453;33,434361;357300;
Sigmoïde;AND;454;33,434341;366900;
Sigmoïde;AND;455;33,434322;395200;
Sigmoïde;AND;456;33,434302;403000;
Sigmoïde;AND;457;33,434283;423300;
Sigmoïde;AND;458;33,434264;416400;
Sigmoïde;AND;459;33,434245;439100;
Sigmoïde;AND;460;33,434226;408800;
Sigmoïde;AND;461;33,434207;426700;
Sigmoïde;AND;462;33,434188;406100;
Sigmoïde;AND;463;33,434170;389000;
Sigmoïde;AND;464;33,434151;382100;
Sigmoïde;AND;465;33,434133;373400;
Sigmoïde;AND;466;33,434114;352700;
Sigmoïde;AND;467;33,434096;342300;
Sigmoïde;AND;468;33,434078;339100;
Sigmoïde;AND;469;33,434060;361900;
Sigmoïde;AND;470;33,434042;338200;
Sigmoïde;AND;471;33,434024;352400;
Sigmoïde;AND;472;33,434006;364400;
Sigmoïde;AND;473;33,433988;335100;
Sigmoïde;AND;474;33,433971;354600;
Sigmoïde;AND;475;33,433953;344100;
Sigmoïde;AND;476;33,433935;339900;
Sigmoïde;AND;477;33,433918;336600;
Sigmoïde;AND;478;33,433901;373500;
Sigmoïde;AND;479;33,433884;349300;
Sigmoïde;AND;480;33,433866;351300;
Sigmoïde;AND;481;33,433849;349600;
Sigmoïde;AND;482;33,433832;370400;
Sigmoïde;AND;483;33,433816;343400;
Sigmoïde;AND;484;33,433799;343700;
Sigmoïde;AND;485;33,433782;342900;
Sigmoïde;AND;486;33,433765;352400;
Sigmoïde;AND;487;33,433749;344500;
Sigmoïde;AND;488;33,433732;349300;
Sigmoïde;AND;489;33,433716;355500;
Sigmoïde;AND;490;33,433700;359600;
Sigmoïde;AND;491;33,433683;375500;
Sigmoïde;AND;492;33,433667;355500;
Sigmoïde;AND;493;33,433651;352100;
Sigmoïde;AND;494;33,433635;372100;
Sigmoïde;AND;495;33,433619;351500;
Sigmoïde;AND;496;33,433603;351800;
Sigmoïde;AND;497;33,433588;356900;
Sigmoïde;AND;498;33,433572;359400;
Sigmoïde;AND;499;33,433556;354300;
Sigmoïde;AND;500;33,433541;356600;
Sigmoïde;AND;501;33,433525;352900;
Sigmoïde;AND;502;33,433510;363800;
Sigmoïde;AND;503;33,433495;370400;
Sigmoïde;AND;504;33,433480;362200;
Sigmoïde;AND;505;33,433464;378700;
Sigmoïde;AND;506;33,433449;358200;
Sigmoïde;AND;507;33,433434;367500;
Sigmoïde;AND;508;33,433419;364600;
Sigmoïde;AND;509;33,433404;365700;
Sigmoïde;AND;510;33,433390;380600;
Sigmoïde;AND;511;33,433375;363700;
Sigmoïde;AND;512;33,433360;361200;
Sigmoïde;AND;513;33,433346;389600;
Sigmoïde;AND;514;33,433331;367400;
Sigmoïde;AND;515;33,433317;367200;
Sigmoïde;AND;516;33,433302;382800;
Sigmoïde;AND;517;33,433288;364700;
Sigmoïde;AND;518;33,433274;377900;
Sigmoïde;AND;519;33,433260;374200;
Sigmoïde;AND;520;33,433246;443200;
Sigmoïde;AND;521;33,433232;417700;
Sigmoïde;AND;522;33,433218;390500;
Sigmoïde;AND;523;33,433204;403400;
Sigmoïde;AND;524;33,433190;415200;
Sigmoïde;AND;525;33,433176;393600;
Sigmoïde;AND;526;33,433162;399100;
Sigmoïde;AND;527;33,433149;385600;
Sigmoïde;AND;528;33,433135;388900;
Sigmoïde;AND;529;33,433122;392000;
Sigmoïde;AND;530;33,433108;393200;
Sigmoïde;AND;531;33,433095;381800;
Sigmoïde;AND;532;33,433081;394100;
Sigmoïde;AND;533;33,433068;390500;
Sigmoïde;AND;534;33,433055;414900;
Sigmoïde;AND;535;33,433042;399900;
Sigmoïde;AND;536;33,433029;396600;
Sigmoïde;AND;537;33,433016;383000;
Sigmoïde;AND;538;33,433003;386900;
Sigmoïde;AND;539;33,432990;390300;
Sigmoïde;AND;540;33,432977;382800;
Sigmoïde;AND;541;33,432964;382200;
Sigmoïde;AND;542;33,432952;371300;
Sigmoïde;AND;543;33,432939;379100;
Sigmoïde;AND;544;33,432926;407400;
Sigmoïde;AND;545;33,432914;401000;
Sigmoïde;AND;546;33,432901;380800;
Sigmoïde;AND;547;33,432889;401400;
Sigmoïde;AND;548;33,432876;382100;
Sigmoïde;AND;549;33,432864;402700;
Sigmoïde;AND;550;33,432852;396900;
Sigmoïde;AND;551;33,432840;393600;
Sigmoïde;AND;552;33,432828;411600;
Sigmoïde;AND;553;33,432816;390500;
Sigmoïde;AND;554;33,432803;418900;
Sigmoïde;AND;555;33,432792;415200;
Sigmoïde;AND;556;33,432780;402700;
Sigmoïde;AND;557;33,432768;398200;
Sigmoïde;AND;558;33,432756;432200;
Sigmoïde;AND;559;33,432744;461400;
Sigmoïde;AND;560;33,432732;750600;
Sigmoïde;AND;561;33,432721;577900;
Sigmoïde;AND;562;33,432709;421700;
Sigmoïde;AND;563;33,432698;405500;
Sigmoïde;AND;564;33,432686;393300;
Sigmoïde;AND;565;33,432675;407000;
Sigmoïde;AND;566;33,432663;421400;
Sigmoïde;AND;567;33,432652;455600;
Sigmoïde;AND;568;33,432641;410200;
Sigmoïde;AND;569;33,432630;415100;
Sigmoïde;AND;570;33,432618;409500;
Sigmoïde;AND;571;33,432607;466300;
Sigmoïde;AND;572;33,432596;396500;
Sigmoïde;AND;573;33,432585;394900;
Sigmoïde;AND;574;33,432574;406700;
Sigmoïde;AND;575;33,432563;424000;
Sigmoïde;AND;576;33,432552;414100;
Sigmoïde;AND;577;33,432541;440200;
Sigmoïde;AND;578;33,432531;502900;
Sigmoïde;AND;579;33,432520;748300;
Sigmoïde;AND;580;33,432509;646400;
Sigmoïde;AND;581;33,432499;833300;
Sigmoïde;AND;582;33,432488;794300;
Sigmoïde;AND;583;33,432477;524300;
Sigmoïde;AND;584;33,432467;452700;
Sigmoïde;AND;585;33,432456;746900;
Sigmoïde;AND;586;33,432446;731400;
Sigmoïde;AND;587;33,432436;755100;
Sigmoïde;AND;588;33,432425;729700;
Sigmoïde;AND;589;33,432415;464000;
Sigmoïde;AND;590;33,432405;454000;
Sigmoïde;AND;591;33,432395;421500;
Sigmoïde;AND;592;33,432385;435600;
Sigmoïde;AND;593;33,432374;421400;
Sigmoïde;AND;594;33,432364;420500;
Sigmoïde;AND;595;33,432354;423900;
Sigmoïde;AND;596;33,432344;424100;
Sigmoïde;AND;597;33,432335;408500;
Sigmoïde;AND;598;33,432325;453000;
Sigmoïde;AND;599;33,432315;424900;
Sigmoïde;AND;600;33,432305;429400;
Sigmoïde;AND;601;33,432295;431000;
Sigmoïde;AND;602;33,432286;436300;
Sigmoïde;AND;603;33,432276;435300;
Sigmoïde;AND;604;33,432266;435500;
Sigmoïde;AND;605;33,432257;424900;
Sigmoïde;AND;606;33,432247;431200;
Sigmoïde;AND;607;33,432238;420600;
Sigmoïde;AND;608;33,432228;442600;
Sigmoïde;AND;609;33,432219;430400;
Sigmoïde;AND;610;33,432210;454300;
Sigmoïde;AND;611;33,432200;438400;
Sigmoïde;AND;612;33,432191;433300;
Sigmoïde;AND;613;33,432182;450500;
Sigmoïde;AND;614;33,432172;432200;
Sigmoïde;AND;615;33,432163;429200;
Sigmoïde;AND;616;33,432154;445000;
Sigmoïde;AND;617;33,432145;430000;
Sigmoïde;AND;618;33,432136;468000;
Sigmoïde;AND;619;33,432127;443200;
Sigmoïde;AND;620;33,432118;454100;
Sigmoïde;AND;621;33,432109;437700;
