Algo;Problème;Seed;N;K;Temps;
dfs;dum;100;287;2;2904;
dfs;dum;100;288;2;9370;
dfs;dum;100;289;2;3348;
dfs;dum;100;290;2;8585;
dfs;dum;100;291;2;4945;
dfs;dum;100;292;2;5791;
dfs;dum;100;293;2;8237;
dfs;dum;100;294;2;7689;
dfs;dum;100;295;2;14987;
dfs;dum;100;296;2;9194;
dfs;dum;100;297;2;6089;
dfs;dum;100;298;2;61;
dfs;dum;100;299;2;7631;
