Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Tanh;AND;176;0,031573;234600;
Tanh;AND;177;0,031170;236700;
Tanh;AND;178;0,030775;237600;
Tanh;AND;179;0,030387;229100;
Tanh;AND;180;0,030006;239600;
Tanh;AND;181;0,029632;262400;
Tanh;AND;182;0,029265;245400;
Tanh;AND;183;0,028905;242100;
Tanh;AND;184;0,028552;243300;
Tanh;AND;185;0,028205;244900;
Tanh;AND;186;0,027864;244600;
Tanh;AND;187;0,027530;244200;
Tanh;AND;188;0,027201;246100;
Tanh;AND;189;0,026879;270500;
Tanh;AND;190;0,026562;246500;
Tanh;AND;191;0,026250;299300;
Tanh;AND;192;0,025944;283300;
Tanh;AND;193;0,025643;224600;
Tanh;AND;194;0,025348;210100;
Tanh;AND;195;0,025057;220600;
Tanh;AND;196;0,024772;223500;
Tanh;AND;197;0,024491;217300;
Tanh;AND;198;0,024215;218400;
Tanh;AND;199;0,023944;216500;
Tanh;AND;200;0,023677;220600;
Tanh;AND;201;0,023415;231000;
Tanh;AND;202;0,023157;228000;
Tanh;AND;203;0,022903;224900;
Tanh;AND;204;0,022653;220800;
Tanh;AND;205;0,022407;226400;
Tanh;AND;206;0,022166;357400;
Tanh;AND;207;0,021928;362000;
Tanh;AND;208;0,021694;378400;
Tanh;AND;209;0,021463;241800;
Tanh;AND;210;0,021237;228200;
Tanh;AND;211;0,021014;242500;
Tanh;AND;212;0,020794;242400;
Tanh;AND;213;0,020578;235700;
Tanh;AND;214;0,020365;238800;
Tanh;AND;215;0,020155;240800;
Tanh;AND;216;0,019949;246300;
Tanh;AND;217;0,019746;251700;
Tanh;AND;218;0,019545;281800;
Tanh;AND;219;0,019348;276200;
Tanh;AND;220;0,019154;293200;
Tanh;AND;221;0,018963;255400;
Tanh;AND;222;0,018774;245500;
Tanh;AND;223;0,018588;247300;
Tanh;AND;224;0,018405;255500;
Tanh;AND;225;0,018225;249900;
Tanh;AND;226;0,018047;258600;
Tanh;AND;227;0,017872;278900;
Tanh;AND;228;0,017700;253500;
Tanh;AND;229;0,017530;255000;
Tanh;AND;230;0,017362;261000;
Tanh;AND;231;0,017197;258300;
Tanh;AND;232;0,017034;262200;
Tanh;AND;233;0,016873;260100;
Tanh;AND;234;0,016715;260300;
Tanh;AND;235;0,016558;265300;
Tanh;AND;236;0,016404;261900;
Tanh;AND;237;0,016252;285100;
Tanh;AND;238;0,016102;285900;
Tanh;AND;239;0,015955;265900;
Tanh;AND;240;0,015809;271800;
Tanh;AND;241;0,015665;278600;
Tanh;AND;242;0,015523;269000;
Tanh;AND;243;0,015383;278100;
Tanh;AND;244;0,015245;271000;
Tanh;AND;245;0,015109;272900;
Tanh;AND;246;0,014975;283000;
Tanh;AND;247;0,014842;275600;
Tanh;AND;248;0,014711;276300;
Tanh;AND;249;0,014582;280500;
Tanh;AND;250;0,014454;277300;
Tanh;AND;251;0,014328;282900;
Tanh;AND;252;0,014204;279000;
Tanh;AND;253;0,014082;276400;
Tanh;AND;254;0,013960;289700;
Tanh;AND;255;0,013841;282200;
Tanh;AND;256;0,013723;287300;
Tanh;AND;257;0,013606;321700;
Tanh;AND;258;0,013491;290400;
Tanh;AND;259;0,013378;403600;
Tanh;AND;260;0,013266;394900;
Tanh;AND;261;0,013155;473100;
Tanh;AND;262;0,013045;457100;
Tanh;AND;263;0,012937;417600;
Tanh;AND;264;0,012831;313100;
Tanh;AND;265;0,012725;314900;
Tanh;AND;266;0,012621;373200;
Tanh;AND;267;0,012518;420800;
Tanh;AND;268;0,012416;487900;
Tanh;AND;269;0,012316;501100;
Tanh;AND;270;0,012217;479700;
Tanh;AND;271;0,012119;453100;
Tanh;AND;272;0,012022;322800;
Tanh;AND;273;0,011926;314700;
Tanh;AND;274;0,011832;421500;
Tanh;AND;275;0,011738;464900;
Tanh;AND;276;0,011646;397000;
Tanh;AND;277;0,011554;369600;
Tanh;AND;278;0,011464;320200;
Tanh;AND;279;0,011375;316600;
Tanh;AND;280;0,011287;332300;
Tanh;AND;281;0,011200;329500;
Tanh;AND;282;0,011114;327200;
Tanh;AND;283;0,011028;348400;
Tanh;AND;284;0,010944;354300;
Tanh;AND;285;0,010861;321900;
Tanh;AND;286;0,010779;327100;
Tanh;AND;287;0,010697;323000;
Tanh;AND;288;0,010617;346300;
Tanh;AND;289;0,010537;333000;
Tanh;AND;290;0,010458;328700;
Tanh;AND;291;0,010381;331400;
Tanh;AND;292;0,010304;322700;
Tanh;AND;293;0,010228;402300;
Tanh;AND;294;0,010152;379000;
Tanh;AND;295;0,010078;366800;
Tanh;AND;296;0,010004;405700;
Tanh;AND;297;0,009931;484900;
Tanh;AND;298;0,009859;491300;
Tanh;AND;299;0,009788;480800;
Tanh;AND;300;0,009717;507600;
Tanh;AND;301;0,009648;519800;
Tanh;AND;302;0,009579;359100;
Tanh;AND;303;0,009510;326400;
Tanh;AND;304;0,009443;336000;
Tanh;AND;305;0,009376;332600;
Tanh;AND;306;0,009310;352000;
Tanh;AND;307;0,009244;330400;
Tanh;AND;308;0,009179;436800;
Tanh;AND;309;0,009115;525300;
Tanh;AND;310;0,009052;378800;
Tanh;AND;311;0,008989;334900;
Tanh;AND;312;0,008927;483300;
Tanh;AND;313;0,008865;479200;
Tanh;AND;314;0,008804;343100;
Tanh;AND;315;0,008744;370400;
Tanh;AND;316;0,008685;361900;
Tanh;AND;317;0,008626;388000;
Tanh;AND;318;0,008615;424700;
Tanh;AND;319;0,011779;534600;
Tanh;AND;320;0,268920;419200;
Tanh;AND;321;1,108838;457300;
Tanh;AND;322;0,117828;427600;
Tanh;AND;323;0,015453;345000;
Tanh;AND;324;0,010662;401200;
Tanh;AND;325;0,008724;360400;
Tanh;AND;326;0,008245;357300;
Tanh;AND;327;0,007982;360800;
Tanh;AND;328;0,007787;403300;
Tanh;AND;329;0,008193;358500;
Tanh;AND;330;0,008159;384200;
Tanh;AND;331;0,010167;370800;
Tanh;AND;332;0,035959;374500;
Tanh;AND;333;0,281629;358500;
Tanh;AND;334;1,112007;370600;
Tanh;AND;335;0,447576;361300;
Tanh;AND;336;0,105945;402100;
Tanh;AND;337;0,023834;383400;
Tanh;AND;338;0,016408;394400;
