Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Tanh;OR;176;0,008419;201700;
Tanh;OR;177;0,008321;199000;
Tanh;OR;178;0,008223;207700;
Tanh;OR;179;0,008128;213600;
Tanh;OR;180;0,008034;202700;
Tanh;OR;181;0,007942;232900;
Tanh;OR;182;0,007851;207800;
Tanh;OR;183;0,007762;219600;
Tanh;OR;184;0,007675;209800;
Tanh;OR;185;0,007588;207700;
Tanh;OR;186;0,007504;238800;
Tanh;OR;187;0,007420;269300;
Tanh;OR;188;0,007338;215800;
Tanh;OR;189;0,007258;229600;
Tanh;OR;190;0,007179;217300;
Tanh;OR;191;0,007101;217900;
Tanh;OR;192;0,007024;230200;
Tanh;OR;193;0,006948;230900;
Tanh;OR;194;0,006874;222600;
Tanh;OR;195;0,006801;223400;
Tanh;OR;196;0,006729;234800;
Tanh;OR;197;0,006658;243000;
Tanh;OR;198;0,006589;272600;
Tanh;OR;199;0,006520;247700;
Tanh;OR;200;0,006452;230500;
Tanh;OR;201;0,006386;235800;
Tanh;OR;202;0,006320;236600;
Tanh;OR;203;0,006256;243500;
Tanh;OR;204;0,006192;240500;
Tanh;OR;205;0,006130;241200;
Tanh;OR;206;0,006068;249400;
Tanh;OR;207;0,006008;245300;
Tanh;OR;208;0,005948;243700;
Tanh;OR;209;0,005889;262400;
Tanh;OR;210;0,005831;245800;
Tanh;OR;211;0,005774;243000;
Tanh;OR;212;0,005717;283900;
Tanh;OR;213;0,005662;251100;
Tanh;OR;214;0,005607;250200;
Tanh;OR;215;0,005553;266100;
Tanh;OR;216;0,005500;252400;
Tanh;OR;217;0,005447;253400;
Tanh;OR;218;0,005396;260600;
Tanh;OR;219;0,005345;260500;
Tanh;OR;220;0,005295;256500;
Tanh;OR;221;0,005245;267500;
Tanh;OR;222;0,005196;268900;
Tanh;OR;223;0,005148;269500;
Tanh;OR;224;0,005101;269600;
Tanh;OR;225;0,005054;262800;
Tanh;OR;226;0,005008;266900;
Tanh;OR;227;0,004962;275300;
Tanh;OR;228;0,004917;267000;
Tanh;OR;229;0,004873;277500;
Tanh;OR;230;0,004829;272200;
Tanh;OR;231;0,004786;269500;
Tanh;OR;232;0,004743;290200;
Tanh;OR;233;0,004701;279900;
Tanh;OR;234;0,004660;274900;
Tanh;OR;235;0,004619;286100;
Tanh;OR;236;0,004578;278300;
Tanh;OR;237;0,004538;282800;
Tanh;OR;238;0,004499;287100;
Tanh;OR;239;0,004460;279700;
Tanh;OR;240;0,004422;297200;
Tanh;OR;241;0,004384;277400;
Tanh;OR;242;0,004347;282600;
Tanh;OR;243;0,004310;294800;
Tanh;OR;244;0,004273;284000;
Tanh;OR;245;0,004237;294800;
Tanh;OR;246;0,004202;297200;
Tanh;OR;247;0,004167;290100;
Tanh;OR;248;0,004132;305700;
Tanh;OR;249;0,004098;294700;
Tanh;OR;250;0,004064;291400;
Tanh;OR;251;0,004031;313000;
Tanh;OR;252;0,003998;294900;
Tanh;OR;253;0,003965;295800;
Tanh;OR;254;0,003933;315300;
Tanh;OR;255;0,003901;300500;
Tanh;OR;256;0,003870;330900;
Tanh;OR;257;0,003839;300800;
Tanh;OR;258;0,003808;301500;
Tanh;OR;259;0,003778;316900;
Tanh;OR;260;0,003748;308000;
Tanh;OR;261;0,003718;318800;
Tanh;OR;262;0,003689;311900;
Tanh;OR;263;0,003660;312800;
Tanh;OR;264;0,003632;318000;
Tanh;OR;265;0,003604;308700;
Tanh;OR;266;0,003576;326500;
Tanh;OR;267;0,003548;318300;
Tanh;OR;268;0,003521;313700;
Tanh;OR;269;0,003494;323500;
Tanh;OR;270;0,003467;323200;
Tanh;OR;271;0,003441;326000;
Tanh;OR;272;0,003415;325100;
Tanh;OR;273;0,003389;334800;
Tanh;OR;274;0,003364;320100;
Tanh;OR;275;0,003339;341900;
Tanh;OR;276;0,003314;334900;
Tanh;OR;277;0,003289;324300;
Tanh;OR;278;0,003265;347800;
Tanh;OR;279;0,003241;321700;
Tanh;OR;280;0,003217;326300;
Tanh;OR;281;0,003193;322800;
Tanh;OR;282;0,003170;350800;
Tanh;OR;283;0,003147;337100;
Tanh;OR;284;0,003124;336900;
Tanh;OR;285;0,003102;333100;
Tanh;OR;286;0,003079;344400;
Tanh;OR;287;0,003057;343900;
Tanh;OR;288;0,003035;328300;
Tanh;OR;289;0,003014;336600;
Tanh;OR;290;0,002993;353800;
Tanh;OR;291;0,002971;330900;
Tanh;OR;292;0,002950;344900;
Tanh;OR;293;0,002930;354900;
Tanh;OR;294;0,002909;362200;
Tanh;OR;295;0,002889;342600;
Tanh;OR;296;0,002869;352400;
Tanh;OR;297;0,002849;346500;
Tanh;OR;298;0,002830;353800;
Tanh;OR;299;0,002810;351700;
Tanh;OR;300;0,002791;350600;
Tanh;OR;301;0,002772;352700;
Tanh;OR;302;0,002753;344400;
Tanh;OR;303;0,002734;534000;
Tanh;OR;304;0,002716;350700;
Tanh;OR;305;0,002698;367900;
Tanh;OR;306;0,002679;384400;
Tanh;OR;307;0,002662;398400;
Tanh;OR;308;0,002644;393900;
Tanh;OR;309;0,002626;418500;
Tanh;OR;310;0,002609;379800;
Tanh;OR;311;0,002592;377000;
Tanh;OR;312;0,002575;367300;
Tanh;OR;313;0,002558;376200;
Tanh;OR;314;0,002541;372200;
Tanh;OR;315;0,002524;382900;
Tanh;OR;316;0,002508;440600;
Tanh;OR;317;0,002492;410600;
Tanh;OR;318;0,002476;370000;
Tanh;OR;319;0,002460;371000;
Tanh;OR;320;0,002444;385600;
Tanh;OR;321;0,002428;373900;
Tanh;OR;322;0,002413;396500;
Tanh;OR;323;0,002398;381800;
Tanh;OR;324;0,002383;400000;
Tanh;OR;325;0,002367;381500;
Tanh;OR;326;0,002353;401700;
Tanh;OR;327;0,002338;389600;
Tanh;OR;328;0,002323;399400;
Tanh;OR;329;0,002309;382500;
Tanh;OR;330;0,002294;407200;
Tanh;OR;331;0,002280;384800;
Tanh;OR;332;0,002266;407100;
Tanh;OR;333;0,002252;412300;
Tanh;OR;334;0,002238;399700;
Tanh;OR;335;0,002225;504900;
Tanh;OR;336;0,002211;411700;
Tanh;OR;337;0,002198;411300;
Tanh;OR;338;0,002184;548900;
Tanh;OR;339;0,002171;415700;
Tanh;OR;340;0,002158;400400;
Tanh;OR;341;0,002145;418600;
Tanh;OR;342;0,002132;401200;
Tanh;OR;343;0,002119;430600;
Tanh;OR;344;0,002107;404900;
Tanh;OR;345;0,002094;426300;
Tanh;OR;346;0,002082;403300;
Tanh;OR;347;0,002070;416800;
Tanh;OR;348;0,002057;411300;
Tanh;OR;349;0,002045;417100;
Tanh;OR;350;0,002033;418200;
Tanh;OR;351;0,002022;419000;
Tanh;OR;352;0,002010;413900;
Tanh;OR;353;0,001998;433300;
Tanh;OR;354;0,001987;415600;
Tanh;OR;355;0,001975;426500;
Tanh;OR;356;0,001964;413400;
Tanh;OR;357;0,001953;430100;
Tanh;OR;358;0,001941;453300;
Tanh;OR;359;0,001930;418300;
Tanh;OR;360;0,001919;432800;
Tanh;OR;361;0,001908;419800;
Tanh;OR;362;0,001898;445400;
Tanh;OR;363;0,001887;422300;
Tanh;OR;364;0,001876;434500;
Tanh;OR;365;0,001866;429700;
Tanh;OR;366;0,001855;455500;
Tanh;OR;367;0,001845;450000;
Tanh;OR;368;0,001835;434400;
Tanh;OR;369;0,001825;449700;
Tanh;OR;370;0,001815;430200;
Tanh;OR;371;0,001805;452100;
Tanh;OR;372;0,001795;438300;
Tanh;OR;373;0,001785;449400;
Tanh;OR;374;0,001775;440600;
Tanh;OR;375;0,001765;452200;
Tanh;OR;376;0,001756;447900;
Tanh;OR;377;0,001746;441600;
Tanh;OR;378;0,001737;457000;
Tanh;OR;379;0,001727;463300;
Tanh;OR;380;0,001718;459200;
Tanh;OR;381;0,001709;452800;
Tanh;OR;382;0,001700;455100;
Tanh;OR;383;0,001691;473400;
Tanh;OR;384;0,001682;446100;
Tanh;OR;385;0,001673;460600;
Tanh;OR;386;0,001664;449000;
Tanh;OR;387;0,001655;465900;
Tanh;OR;388;0,001646;459700;
Tanh;OR;389;0,001638;455700;
Tanh;OR;390;0,001629;467000;
Tanh;OR;391;0,001621;470200;
Tanh;OR;392;0,001612;500600;
Tanh;OR;393;0,001604;463500;
Tanh;OR;394;0,001595;467200;
Tanh;OR;395;0,001587;476400;
Tanh;OR;396;0,001579;472700;
Tanh;OR;397;0,001571;484900;
Tanh;OR;398;0,001563;462800;
Tanh;OR;399;0,001555;485200;
Tanh;OR;400;0,001547;481200;
Tanh;OR;401;0,001539;457400;
Tanh;OR;402;0,001531;464600;
Tanh;OR;403;0,001523;483700;
Tanh;OR;404;0,001516;462600;
Tanh;OR;405;0,001508;472100;
Tanh;OR;406;0,001500;478400;
Tanh;OR;407;0,001493;506700;
Tanh;OR;408;0,001485;495000;
Tanh;OR;409;0,001478;475200;
Tanh;OR;410;0,001471;481500;
Tanh;OR;411;0,001463;475000;
Tanh;OR;412;0,001456;500500;
Tanh;OR;413;0,001449;555400;
Tanh;OR;414;0,001442;468700;
Tanh;OR;415;0,001435;515500;
Tanh;OR;416;0,001428;483300;
Tanh;OR;417;0,001421;491100;
Tanh;OR;418;0,001414;501700;
Tanh;OR;419;0,001407;485700;
Tanh;OR;420;0,001400;503300;
Tanh;OR;421;0,001393;511100;
Tanh;OR;422;0,001386;498400;
Tanh;OR;423;0,001380;503700;
