Fonction;Operation;nbIteration;Taux de réussite (%);Temps d'entrainement(nanosecondes);
Tanh;OR;176;100,000000;267400;
Tanh;OR;177;100,000000;251200;
Tanh;OR;178;100,000000;238300;
Tanh;OR;179;100,000000;244300;
Tanh;OR;180;100,000000;248900;
Tanh;OR;181;100,000000;242300;
Tanh;OR;182;100,000000;243700;
Tanh;OR;183;100,000000;253400;
Tanh;OR;184;100,000000;246700;
Tanh;OR;185;100,000000;247500;
Tanh;OR;186;100,000000;249000;
Tanh;OR;187;100,000000;328200;
Tanh;OR;188;100,000000;252200;
Tanh;OR;189;100,000000;252800;
Tanh;OR;190;100,000000;262600;
Tanh;OR;191;100,000000;262300;
Tanh;OR;192;100,000000;261300;
Tanh;OR;193;100,000000;312800;
Tanh;OR;194;100,000000;372800;
Tanh;OR;195;100,000000;261500;
Tanh;OR;196;100,000000;262700;
Tanh;OR;197;100,000000;343100;
Tanh;OR;198;100,000000;279800;
Tanh;OR;199;100,000000;266300;
Tanh;OR;200;100,000000;384300;
Tanh;OR;201;100,000000;268900;
Tanh;OR;202;100,000000;270300;
Tanh;OR;203;100,000000;280400;
Tanh;OR;204;100,000000;273400;
Tanh;OR;205;100,000000;275200;
Tanh;OR;206;100,000000;284500;
Tanh;OR;207;100,000000;282500;
Tanh;OR;208;100,000000;278700;
Tanh;OR;209;100,000000;287900;
Tanh;OR;210;100,000000;288200;
Tanh;OR;211;100,000000;282400;
Tanh;OR;212;100,000000;293900;
Tanh;OR;213;100,000000;285300;
Tanh;OR;214;100,000000;292100;
Tanh;OR;215;100,000000;295700;
Tanh;OR;216;100,000000;289200;
Tanh;OR;217;100,000000;290600;
Tanh;OR;218;100,000000;359300;
Tanh;OR;219;100,000000;400800;
Tanh;OR;220;100,000000;344300;
Tanh;OR;221;100,000000;344500;
Tanh;OR;222;100,000000;297300;
Tanh;OR;223;100,000000;298300;
Tanh;OR;224;100,000000;347600;
Tanh;OR;225;100,000000;301100;
Tanh;OR;226;100,000000;307000;
Tanh;OR;227;100,000000;313000;
Tanh;OR;228;100,000000;305200;
Tanh;OR;229;100,000000;306600;
Tanh;OR;230;100,000000;316100;
Tanh;OR;231;100,000000;310100;
Tanh;OR;232;100,000000;314200;
Tanh;OR;233;100,000000;320100;
Tanh;OR;234;100,000000;314100;
Tanh;OR;235;100,000000;314400;
Tanh;OR;236;100,000000;399800;
Tanh;OR;237;100,000000;317100;
Tanh;OR;238;100,000000;330200;
Tanh;OR;239;100,000000;320200;
Tanh;OR;240;100,000000;321600;
Tanh;OR;241;100,000000;363000;
Tanh;OR;242;100,000000;374000;
Tanh;OR;243;100,000000;325500;
Tanh;OR;244;100,000000;565900;
Tanh;OR;245;100,000000;355600;
Tanh;OR;246;100,000000;340400;
Tanh;OR;247;100,000000;330800;
Tanh;OR;248;100,000000;333800;
Tanh;OR;249;100,000000;348000;
Tanh;OR;250;100,000000;336100;
Tanh;OR;251;100,000000;335900;
Tanh;OR;252;100,000000;337500;
Tanh;OR;253;100,000000;339100;
Tanh;OR;254;100,000000;348400;
Tanh;OR;255;100,000000;345300;
Tanh;OR;256;100,000000;342700;
Tanh;OR;257;100,000000;353300;
Tanh;OR;258;100,000000;379500;
Tanh;OR;259;100,000000;354800;
Tanh;OR;260;100,000000;347900;
Tanh;OR;261;100,000000;532300;
Tanh;OR;262;100,000000;373300;
Tanh;OR;263;100,000000;352200;
Tanh;OR;264;100,000000;362800;
Tanh;OR;265;100,000000;354500;
Tanh;OR;266;100,000000;526300;
Tanh;OR;267;100,000000;368100;
Tanh;OR;268;100,000000;358800;
Tanh;OR;269;100,000000;369200;
Tanh;OR;270;100,000000;361400;
Tanh;OR;271;100,000000;374600;
Tanh;OR;272;100,000000;364300;
Tanh;OR;273;100,000000;366200;
Tanh;OR;274;100,000000;375100;
Tanh;OR;275;100,000000;368200;
Tanh;OR;276;100,000000;378900;
Tanh;OR;277;100,000000;370700;
Tanh;OR;278;100,000000;380200;
Tanh;OR;279;100,000000;688000;
Tanh;OR;280;100,000000;411400;
Tanh;OR;281;100,000000;386700;
Tanh;OR;282;100,000000;377000;
Tanh;OR;283;100,000000;388200;
Tanh;OR;284;100,000000;379900;
Tanh;OR;285;100,000000;637100;
Tanh;OR;286;100,000000;547000;
Tanh;OR;287;100,000000;666100;
Tanh;OR;288;100,000000;560800;
Tanh;OR;289;100,000000;526900;
Tanh;OR;290;100,000000;724800;
Tanh;OR;291;100,000000;574100;
Tanh;OR;292;100,000000;804500;
Tanh;OR;293;100,000000;668800;
Tanh;OR;294;100,000000;785100;
Tanh;OR;295;100,000000;768900;
Tanh;OR;296;100,000000;825600;
Tanh;OR;297;100,000000;592400;
Tanh;OR;298;100,000000;485000;
Tanh;OR;299;100,000000;420400;
Tanh;OR;300;100,000000;410800;
Tanh;OR;301;100,000000;427500;
Tanh;OR;302;100,000000;413300;
Tanh;OR;303;100,000000;435900;
Tanh;OR;304;100,000000;407200;
Tanh;OR;305;100,000000;419700;
Tanh;OR;306;100,000000;409200;
Tanh;OR;307;100,000000;419400;
Tanh;OR;308;100,000000;411900;
Tanh;OR;309;100,000000;484100;
Tanh;OR;310;100,000000;418600;
Tanh;OR;311;100,000000;416900;
Tanh;OR;312;100,000000;486600;
Tanh;OR;313;100,000000;448900;
Tanh;OR;314;100,000000;594200;
Tanh;OR;315;100,000000;481700;
Tanh;OR;316;100,000000;432400;
Tanh;OR;317;100,000000;447100;
Tanh;OR;318;100,000000;733200;
Tanh;OR;319;100,000000;426800;
Tanh;OR;320;100,000000;436300;
Tanh;OR;321;100,000000;430300;
Tanh;OR;322;100,000000;547800;
Tanh;OR;323;100,000000;434000;
Tanh;OR;324;100,000000;441500;
Tanh;OR;325;100,000000;434700;
Tanh;OR;326;100,000000;448900;
Tanh;OR;327;100,000000;469900;
Tanh;OR;328;100,000000;505200;
Tanh;OR;329;100,000000;440700;
Tanh;OR;330;100,000000;535800;
Tanh;OR;331;100,000000;444200;
Tanh;OR;332;100,000000;454300;
Tanh;OR;333;100,000000;446300;
Tanh;OR;334;100,000000;664100;
Tanh;OR;335;100,000000;463100;
Tanh;OR;336;100,000000;458600;
Tanh;OR;337;100,000000;451800;
Tanh;OR;338;100,000000;466200;
Tanh;OR;339;100,000000;454700;
Tanh;OR;340;100,000000;465000;
Tanh;OR;341;100,000000;457700;
Tanh;OR;342;100,000000;535800;
Tanh;OR;343;100,000000;480300;
Tanh;OR;344;100,000000;469100;
Tanh;OR;345;100,000000;567000;
Tanh;OR;346;100,000000;2687400;
Tanh;OR;347;100,000000;464700;
Tanh;OR;348;100,000000;484300;
Tanh;OR;349;100,000000;489900;
Tanh;OR;350;100,000000;466400;
Tanh;OR;351;100,000000;468800;
Tanh;OR;352;100,000000;469200;
Tanh;OR;353;100,000000;474200;
Tanh;OR;354;100,000000;496300;
Tanh;OR;355;100,000000;562700;
Tanh;OR;356;100,000000;545700;
Tanh;OR;357;100,000000;544300;
Tanh;OR;358;100,000000;479100;
Tanh;OR;359;100,000000;567500;
Tanh;OR;360;100,000000;536200;
Tanh;OR;361;100,000000;960100;
Tanh;OR;362;100,000000;622000;
Tanh;OR;363;100,000000;473200;
Tanh;OR;364;100,000000;566500;
Tanh;OR;365;100,000000;475900;
Tanh;OR;366;100,000000;477300;
Tanh;OR;367;100,000000;479000;
Tanh;OR;368;100,000000;484600;
Tanh;OR;369;100,000000;481800;
Tanh;OR;370;100,000000;483000;
Tanh;OR;371;100,000000;489000;
Tanh;OR;372;100,000000;591900;
Tanh;OR;373;100,000000;484500;
Tanh;OR;374;100,000000;485000;
Tanh;OR;375;100,000000;491800;
Tanh;OR;376;100,000000;487600;
Tanh;OR;377;100,000000;488800;
Tanh;OR;378;100,000000;490200;
Tanh;OR;379;100,000000;495300;
Tanh;OR;380;100,000000;493200;
Tanh;OR;381;100,000000;495000;
Tanh;OR;382;100,000000;495500;
Tanh;OR;383;100,000000;499800;
Tanh;OR;384;100,000000;498400;
Tanh;OR;385;100,000000;499500;
Tanh;OR;386;100,000000;503600;
Tanh;OR;387;100,000000;505400;
Tanh;OR;388;100,000000;503300;
Tanh;OR;389;100,000000;504800;
Tanh;OR;390;100,000000;506200;
Tanh;OR;391;100,000000;556600;
Tanh;OR;392;100,000000;509100;
Tanh;OR;393;100,000000;512800;
Tanh;OR;394;100,000000;511200;
Tanh;OR;395;100,000000;553300;
Tanh;OR;396;100,000000;519100;
Tanh;OR;397;100,000000;518200;
Tanh;OR;398;100,000000;519100;
Tanh;OR;399;100,000000;524700;
Tanh;OR;400;100,000000;522200;
Tanh;OR;401;100,000000;523400;
Tanh;OR;402;100,000000;528700;
