Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes)
Tanh;AND;185;0,029215;203000
Tanh;AND;186;0,028863;205399
Tanh;AND;187;0,028518;205500
Tanh;AND;188;0,028178;205799
Tanh;AND;189;0,027845;208300
Tanh;AND;190;0,027517;220500
Tanh;AND;191;0,027196;209600
Tanh;AND;192;0,026879;210601
Tanh;AND;193;0,026568;212399
Tanh;AND;194;0,026263;213200
Tanh;AND;195;0,025963;215400
Tanh;AND;196;0,025667;215700
Tanh;AND;197;0,025377;219400
Tanh;AND;198;0,025092;217500
Tanh;AND;199;0,024811;215299
Tanh;AND;200;0,024535;215399
Tanh;AND;201;0,024264;216700
Tanh;AND;202;0,023996;218200
Tanh;AND;203;0,023734;233999
Tanh;AND;204;0,023475;225899
Tanh;AND;205;0,023221;227500
Tanh;AND;206;0,022971;227500
Tanh;AND;207;0,022725;225099
Tanh;AND;208;0,022482;224000
Tanh;AND;209;0,022244;225300
Tanh;AND;210;0,022009;226500
Tanh;AND;211;0,021778;227900
Tanh;AND;212;0,02155;228701
Tanh;AND;213;0,021326;229300
Tanh;AND;214;0,021106;230400
Tanh;AND;215;0,020889;233200
Tanh;AND;216;0,020675;240101
Tanh;AND;217;0,020464;239600
Tanh;AND;218;0,020257;243300
Tanh;AND;219;0,020052;243100
Tanh;AND;220;0,019851;242599
Tanh;AND;221;0,019653;359800
Tanh;AND;222;0,019457;392800
Tanh;AND;223;0,019265;361300
Tanh;AND;224;0,019075;360900
Tanh;AND;225;0,018888;368699
Tanh;AND;226;0,018704;317401
Tanh;AND;227;0,018523;288800
Tanh;AND;228;0,018344;251700
Tanh;AND;229;0,018167;252200
Tanh;AND;230;0,017993;284499
Tanh;AND;231;0,017822;346200
Tanh;AND;232;0,017653;256100
Tanh;AND;233;0,017486;258301
Tanh;AND;234;0,017322;264500
Tanh;AND;235;0,01716;259700
Tanh;AND;236;0,017;266600
Tanh;AND;237;0,016842;259301
Tanh;AND;238;0,016687;258799
Tanh;AND;239;0,016534;256600
Tanh;AND;240;0,016382;265200
Tanh;AND;241;0,016233;262600
Tanh;AND;242;0,016086;267601
Tanh;AND;243;0,015941;275700
Tanh;AND;244;0,015798;269900
Tanh;AND;245;0,015656;271000
Tanh;AND;246;0,015517;271900
Tanh;AND;247;0,015379;279500
Tanh;AND;248;0,015243;273300
Tanh;AND;249;0,015109;275600
Tanh;AND;250;0,014977;282601
Tanh;AND;251;0,014846;278100
Tanh;AND;252;0,014717;278799
Tanh;AND;253;0,01459;286200
Tanh;AND;254;0,014464;281001
Tanh;AND;255;0,01434;281500
Tanh;AND;256;0,014218;282801
Tanh;AND;257;0,014097;289500
Tanh;AND;258;0,013977;284400
Tanh;AND;259;0,013859;286000
Tanh;AND;260;0,013743;292800
Tanh;AND;261;0,013628;288700
Tanh;AND;262;0,013514;289400
Tanh;AND;263;0,013402;295601
Tanh;AND;264;0,013291;292099
Tanh;AND;265;0,013182;294800
Tanh;AND;266;0,013074;299000
Tanh;AND;267;0,012967;299100
Tanh;AND;268;0,012862;298701
Tanh;AND;269;0,012757;299100
Tanh;AND;270;0,012654;352600
Tanh;AND;271;0,012553;300600
Tanh;AND;272;0,012452;300400
Tanh;AND;273;0,012353;307900
Tanh;AND;274;0,012254;303100
Tanh;AND;275;0,012157;305100
Tanh;AND;276;0,012061;308901
Tanh;AND;277;0,011967;306401
Tanh;AND;278;0,011873;310700
Tanh;AND;279;0,01178;316100
Tanh;AND;280;0,011689;318900
Tanh;AND;281;0,011598;311500
Tanh;AND;282;0,011509;378299
Tanh;AND;283;0,01142;458700
Tanh;AND;284;0,011333;316300
Tanh;AND;285;0,011247;317900
Tanh;AND;286;0,011161;321000
Tanh;AND;287;0,011077;323201
Tanh;AND;288;0,010993;325000
Tanh;AND;289;0,01091;329700
Tanh;AND;290;0,010829;324600
Tanh;AND;291;0,010748;322899
Tanh;AND;292;0,010668;327300
Tanh;AND;293;0,010589;324400
Tanh;AND;294;0,010511;324400
Tanh;AND;295;0,010434;331100
Tanh;AND;296;0,010357;327200
Tanh;AND;297;0,010281;327900
Tanh;AND;298;0,010207;333899
Tanh;AND;299;0,010133;329900
Tanh;AND;300;0,010059;331501
Tanh;AND;301;0,009987;347101
Tanh;AND;302;0,009915;333900
Tanh;AND;303;0,009844;335201
Tanh;AND;304;0,009774;346000
Tanh;AND;305;0,009705;336500
Tanh;AND;306;0,009636;342600
Tanh;AND;307;0,009568;338400
Tanh;AND;308;0,009501;341600
Tanh;AND;309;0,009434;348900
Tanh;AND;310;0,009368;344400
Tanh;AND;311;0,009303;343601
Tanh;AND;312;0,009239;383401
Tanh;AND;313;0,009175;346201
Tanh;AND;314;0,009112;351700
Tanh;AND;315;0,009049;358099
Tanh;AND;316;0,008987;353300
Tanh;AND;317;0,008926;351601
Tanh;AND;318;0,008865;357299
Tanh;AND;319;0,008805;365000
Tanh;AND;320;0,008745;360200
Tanh;AND;321;0,008687;362000
Tanh;AND;322;0,008628;365200
Tanh;AND;323;0,008571;367400
Tanh;AND;324;0,008513;371899
Tanh;AND;325;0,008457;362099
Tanh;AND;326;0,008401;455100
Tanh;AND;327;0,008345;364401
Tanh;AND;328;0,00829;372299
Tanh;AND;329;0,008236;372899
Tanh;AND;330;0,008182;369701
Tanh;AND;331;0,008129;373100
Tanh;AND;332;0,008076;374200
Tanh;AND;333;0,008024;373400
Tanh;AND;334;0,007972;371500
Tanh;AND;335;0,00792;375300
Tanh;AND;336;0,00787;378199
Tanh;AND;337;0,007819;382700
Tanh;AND;338;0,007769;411500
Tanh;AND;339;0,00772;374399
Tanh;AND;340;0,007671;371400
Tanh;AND;341;0,007622;384200
Tanh;AND;342;0,007574;373400
Tanh;AND;343;0,007527;370001
Tanh;AND;344;0,00748;371300
Tanh;AND;345;0,007433;376301
Tanh;AND;346;0,007387;373100
Tanh;AND;347;0,007341;372999
Tanh;AND;348;0,007295;381101
Tanh;AND;349;0,00725;378001
Tanh;AND;350;0,007206;460500
Tanh;AND;351;0,007162;455399
Tanh;AND;352;0,007118;405300
Tanh;AND;353;0,007074;394200
Tanh;AND;354;0,007031;394900
Tanh;AND;355;0,006989;400200
Tanh;AND;356;0,006946;392800
Tanh;AND;357;0,006905;401700
Tanh;AND;358;0,006863;398300
Tanh;AND;359;0,006822;398700
Tanh;AND;360;0,006781;406401
Tanh;AND;361;0,006741;401300
Tanh;AND;362;0,006701;411000
Tanh;AND;363;0,006661;409699
Tanh;AND;364;0,006622;476400
Tanh;AND;365;0,006583;508100
Tanh;AND;366;0,006544;421799
Tanh;AND;367;0,006506;413799
Tanh;AND;368;0,006468;415799
Tanh;AND;369;0,00643;402500
Tanh;AND;370;0,006393;401300
Tanh;AND;371;0,006356;407099
Tanh;AND;372;0,006319;403100
Tanh;AND;373;0,006283;408800
Tanh;AND;374;0,006246;480401
Tanh;AND;375;0,006211;538001
Tanh;AND;376;0,006175;416000
Tanh;AND;377;0,00614;485999
Tanh;AND;378;0,006105;602601
Tanh;AND;379;0,006071;477900
Tanh;AND;380;0,006036;419800
Tanh;AND;381;0,006002;430500
Tanh;AND;382;0,005969;425299
Tanh;AND;383;0,005935;425800
Tanh;AND;384;0,005902;433600
Tanh;AND;385;0,005869;423800
Tanh;AND;386;0,005836;433899
Tanh;AND;387;0,005804;429699
Tanh;AND;388;0,005772;431900
Tanh;AND;389;0,00574;432001
Tanh;AND;390;0,005709;492699
Tanh;AND;391;0,005677;458601
Tanh;AND;392;0,005646;431799
Tanh;AND;393;0,005615;437399
Tanh;AND;394;0,005585;439501
Tanh;AND;395;0,005555;427100
Tanh;AND;396;0,005524;427501
Tanh;AND;397;0,005495;433700
Tanh;AND;398;0,005465;471800
Tanh;AND;399;0,005436;444900
Tanh;AND;400;0,005407;457800
Tanh;AND;401;0,005378;580500
Tanh;AND;402;0,005349;519300
Tanh;AND;403;0,005321;546800
Tanh;AND;404;0,005292;463400
Tanh;AND;405;0,005264;449499
Tanh;AND;406;0,005237;441600
Tanh;AND;407;0,005209;455300
Tanh;AND;408;0,005182;460899
Tanh;AND;409;0,005155;458900
Tanh;AND;410;0,005128;461700
Tanh;AND;411;0,005101;464601
Tanh;AND;412;0,005074;471899
Tanh;AND;413;0,005048;462000
Tanh;AND;414;0,005022;485000
Tanh;AND;415;0,004996;583101
Tanh;AND;416;0,00497;607300
Tanh;AND;417;0,004945;571300
Tanh;AND;418;0,00492;528300
Tanh;AND;419;0,004894;466001
Tanh;AND;420;0,00487;459600
Tanh;AND;421;0,004845;461800
