Fonction de transfert;nbNeuronesCaches1;nbNeuronesCaches2;taux;resultat mlp en %
Sigmoïde;50;150;0,100000;94,340000
Tanh;50;150;0,100000;93,240000
Sigmoïde;50;150;0,300000;94,400000
Tanh;50;150;0,300000;10,320000
Sigmoïde;50;150;0,500000;94,010000
Tanh;50;150;0,500000;9,800000
Sigmoïde;75;0;0,010000;94,150000
Tanh;75;0;0,010000;92,810000
Sigmoïde;75;0;0,050000;95,140000
Tanh;75;0;0,050000;86,060000
Sigmoïde;75;0;0,100000;95,280000
Tanh;75;0;0,100000;18,770000
Sigmoïde;75;0;0,300000;95,310000
Tanh;75;0;0,300000;14,220000
Sigmoïde;75;0;0,500000;95,260000
Tanh;75;0;0,500000;14,930000
Sigmoïde;75;25;0,010000;91,780000
Tanh;75;25;0,010000;94,450000
Sigmoïde;75;25;0,050000;94,490000
Tanh;75;25;0,050000;94,350000
Sigmoïde;75;25;0,100000;95,070000
Tanh;75;25;0,100000;92,900000
Sigmoïde;75;25;0,300000;95,120000
Tanh;75;25;0,300000;9,740000
Sigmoïde;75;25;0,500000;94,720000
Tanh;75;25;0,500000;9,820000
Sigmoïde;75;50;0,010000;91,020000
Tanh;75;50;0,010000;94,860000
Sigmoïde;75;50;0,050000;94,490000
Tanh;75;50;0,050000;94,110000
Sigmoïde;75;50;0,100000;94,750000
Tanh;75;50;0,100000;94,200000
Sigmoïde;75;50;0,300000;94,830000
Tanh;75;50;0,300000;9,580000
Sigmoïde;75;50;0,500000;94,340000
Tanh;75;50;0,500000;10,090000
Sigmoïde;75;75;0,010000;91,020000
Tanh;75;75;0,010000;94,640000
Sigmoïde;75;75;0,050000;95,060000
Tanh;75;75;0,050000;94,510000
Sigmoïde;75;75;0,100000;94,780000
Tanh;75;75;0,100000;93,510000
Sigmoïde;75;75;0,300000;94,580000
Tanh;75;75;0,300000;9,820000
Sigmoïde;75;75;0,500000;94,260000
Tanh;75;75;0,500000;13,320000
Sigmoïde;75;100;0,010000;90,810000
Tanh;75;100;0,010000;94,560000
Sigmoïde;75;100;0,050000;94,700000
Tanh;75;100;0,050000;94,300000
Sigmoïde;75;100;0,100000;94,960000
Tanh;75;100;0,100000;93,070000
Sigmoïde;75;100;0,300000;94,700000
Tanh;75;100;0,300000;9,800000
Sigmoïde;75;100;0,500000;94,900000
Tanh;75;100;0,500000;9,800000
Sigmoïde;75;125;0,010000;90,990000
Tanh;75;125;0,010000;94,440000
Sigmoïde;75;125;0,050000;94,830000
Tanh;75;125;0,050000;93,970000
Sigmoïde;75;125;0,100000;95,060000
Tanh;75;125;0,100000;93,230000
Sigmoïde;75;125;0,300000;95,230000
Tanh;75;125;0,300000;8,920000
Sigmoïde;75;125;0,500000;94,840000
Tanh;75;125;0,500000;9,800000
Sigmoïde;75;150;0,010000;90,630000
Tanh;75;150;0,010000;94,490000
Sigmoïde;75;150;0,050000;94,740000
Tanh;75;150;0,050000;93,790000
Sigmoïde;75;150;0,100000;94,520000
Tanh;75;150;0,100000;93,680000
Sigmoïde;75;150;0,300000;94,310000
Tanh;75;150;0,300000;5,000000
Sigmoïde;75;150;0,500000;94,810000
Tanh;75;150;0,500000;11,350000
Sigmoïde;100;0;0,010000;94,070000
Tanh;100;0;0,010000;92,560000
Sigmoïde;100;0;0,050000;95,290000
Tanh;100;0;0,050000;88,310000
Sigmoïde;100;0;0,100000;95,340000
Tanh;100;0;0,100000;20,610000
Sigmoïde;100;0;0,300000;95,850000
Tanh;100;0;0,300000;13,200000
Sigmoïde;100;0;0,500000;95,630000
Tanh;100;0;0,500000;1,930000
Sigmoïde;100;25;0,010000;91,380000
Tanh;100;25;0,010000;95,210000
Sigmoïde;100;25;0,050000;94,370000
Tanh;100;25;0,050000;93,050000
Sigmoïde;100;25;0,100000;95,130000
Tanh;100;25;0,100000;92,670000
Sigmoïde;100;25;0,300000;95,350000
Tanh;100;25;0,300000;9,770000
Sigmoïde;100;25;0,500000;94,990000
Tanh;100;25;0,500000;10,280000
Sigmoïde;100;50;0,010000;91,150000
Tanh;100;50;0,010000;94,100000
Sigmoïde;100;50;0,050000;94,820000
Tanh;100;50;0,050000;93,970000
Sigmoïde;100;50;0,100000;94,290000
Tanh;100;50;0,100000;93,900000
Sigmoïde;100;50;0,300000;95,000000
Tanh;100;50;0,300000;12,550000
Sigmoïde;100;50;0,500000;95,290000
Tanh;100;50;0,500000;9,820000
Sigmoïde;100;75;0,010000;91,000000
Tanh;100;75;0,010000;94,500000
Sigmoïde;100;75;0,050000;94,780000
Tanh;100;75;0,050000;94,030000
Sigmoïde;100;75;0,100000;94,580000
Tanh;100;75;0,100000;93,550000
Sigmoïde;100;75;0,300000;94,720000
Tanh;100;75;0,300000;9,580000
Sigmoïde;100;75;0,500000;94,870000
Tanh;100;75;0,500000;10,320000
Sigmoïde;100;100;0,010000;90,950000
Tanh;100;100;0,010000;94,870000
Sigmoïde;100;100;0,050000;94,640000
Tanh;100;100;0,050000;94,070000
Sigmoïde;100;100;0,100000;94,960000
Tanh;100;100;0,100000;93,220000
Sigmoïde;100;100;0,300000;94,910000
Tanh;100;100;0,300000;9,580000
Sigmoïde;100;100;0,500000;95,150000
Tanh;100;100;0,500000;8,920000
Sigmoïde;100;125;0,010000;86,180000
Tanh;100;125;0,010000;94,490000
Sigmoïde;100;125;0,050000;94,770000
Tanh;100;125;0,050000;93,790000
Sigmoïde;100;125;0,100000;94,880000
Tanh;100;125;0,100000;93,670000
Sigmoïde;100;125;0,300000;95,040000
Tanh;100;125;0,300000;11,350000
Sigmoïde;100;125;0,500000;95,260000
Tanh;100;125;0,500000;8,920000
Sigmoïde;100;150;0,010000;84,630000
