nbNeuronesCaches1;nbNeuronesCaches2;taux;resultat en %
25;25;0,5;91,27
25;25;0,3;91,15
25;25;0,1;90,04
25;25;0,05;40,52
25;25;0,01;11,4
25;50;0,5;91,9
25;50;0,3;91,55
25;50;0,1;88,74
25;50;0,05;37,23
25;50;0,01;18,58
25;75;0,5;91,79
25;75;0,3;91,58
25;75;0,1;87,91
25;75;0,05;45,99
25;75;0,01;10,1
25;100;0,3;91,8
25;100;0,5;91,72
25;100;0,1;85,69
25;100;0,05;35,51
25;100;0,01;19,3
50;25;0,3;93,06
50;25;0,5;91,97
50;25;0,1;90,57
50;25;0,05;37,38
50;25;0,01;11,35
50;50;0,5;92,6
50;50;0,3;92,46
50;50;0,1;89,54
50;50;0,05;25,35
50;50;0,01;10,1
50;75;0,5;92,9
50;75;0,3;92,55
50;75;0,1;89,69
50;75;0,05;38,91
50;75;0,01;15,32
50;100;0,5;92,32
50;100;0,3;91,65
50;100;0,1;86,29
50;100;0,05;31,25
50;100;0,01;9,8
75;25;0,5;93,24
75;25;0,3;92,98
75;25;0,1;67,4
75;25;0,05;34,89
75;25;0,01;11,35
75;50;0,3;92,81
75;50;0,5;92,66
75;50;0,1;89,18
75;50;0,05;27,58
75;50;0,01;10,15
75;75;0,5;93,51
75;75;0,3;92,71
75;75;0,1;88,25
75;75;0,05;22,16
75;75;0,01;10,39
75;100;0,5;92,65
75;100;0,3;92,44
75;100;0,1;88,87
75;100;0,05;19,28
75;100;0,01;9,8
100;25;0,5;93,71
100;25;0,3;93,26
100;25;0,1;88,82
100;25;0,05;24,93
100;25;0,01;11,35
100;50;0,5;93,57
100;50;0,3;93,55
100;50;0,1;88,87
100;50;0,05;32,85
100;50;0,01;10,1
100;75;0,3;93,57
100;75;0,5;93,14
100;75;0,1;88,73
100;75;0,05;18,53
100;75;0,01;14,01
100;100;0,3;93,15
100;100;0,5;92,25
100;100;0,1;89,47
100;100;0,05;29,71
100;100;0,01;9,8
