Algo;Problème;Seed;N;K;Cout;Temps;
ucs;dum;100;1000;2;1172,894527;25754;
ucs;dum;100;2000;2;5766,018570;41535;
ucs;dum;100;3000;2;4103,633748;11890;
ucs;dum;100;4000;2;5176,549220;45426;
ucs;dum;100;5000;2;4262,392881;14974;
ucs;dum;100;6000;2;3764,166871;18066;
ucs;dum;100;7000;2;6055,722337;182818;
ucs;dum;100;8000;2;7097,834822;267296;
ucs;dum;100;9000;2;6719,862549;267673;
ucs;dum;100;10000;2;6660,413284;228762;
