Algo;Problème;Seed;N;K;Cout;Temps;
astar;dum;100;1000;2;1172,894527;6989;
astar;dum;100;2000;2;5766,018570;13294;
astar;dum;100;3000;2;4103,633748;2884;
astar;dum;100;4000;2;5176,549220;10966;
astar;dum;100;5000;2;4262,392881;3719;
astar;dum;100;6000;2;3764,166871;2645;
astar;dum;100;7000;2;6055,722337;50891;
astar;dum;100;8000;2;7097,834822;124175;
astar;dum;100;9000;2;6719,862549;119655;
astar;dum;100;10000;2;6660,413284;91935;
