Algo;Problème;Seed;N;K;Cout;Temps;
astar;dum;100;1000;2;1172,894527;13524;
astar;dum;100;1000;4;1172,894527;11943;
astar;dum;100;1000;6;1172,894527;12187;
astar;dum;100;1000;8;1172,894527;12872;
astar;dum;100;1000;10;1172,894527;13529;
astar;dum;100;1000;12;1172,894527;13935;
astar;dum;100;1000;14;1172,894527;13692;
astar;dum;100;1000;16;1172,894527;17936;
astar;dum;100;1000;18;1172,894527;18699;
astar;dum;100;1000;20;1172,894527;20625;
