Fonction;Operation;nbIteration;Taux de réussite (%);Temps d'entrainement(nanosecondes);
Sigmoïde;XOR;147;50,000000;135500;
Sigmoïde;XOR;148;50,000000;136900;
Sigmoïde;XOR;149;50,000000;139200;
Sigmoïde;XOR;150;50,000000;140400;
Sigmoïde;XOR;151;50,000000;140700;
Sigmoïde;XOR;152;50,000000;145500;
Sigmoïde;XOR;153;50,000000;141600;
Sigmoïde;XOR;154;50,000000;142100;
Sigmoïde;XOR;155;50,000000;143500;
Sigmoïde;XOR;156;50,000000;144000;
Sigmoïde;XOR;157;50,000000;145300;
Sigmoïde;XOR;158;50,000000;145800;
Sigmoïde;XOR;159;50,000000;146700;
Sigmoïde;XOR;160;50,000000;148200;
Sigmoïde;XOR;161;50,000000;148400;
Sigmoïde;XOR;162;50,000000;150100;
Sigmoïde;XOR;163;50,000000;151700;
Sigmoïde;XOR;164;50,000000;153000;
Sigmoïde;XOR;165;50,000000;153900;
Sigmoïde;XOR;166;50,000000;158500;
Sigmoïde;XOR;167;50,000000;154700;
Sigmoïde;XOR;168;50,000000;156400;
Sigmoïde;XOR;169;50,000000;158000;
Sigmoïde;XOR;170;50,000000;157300;
Sigmoïde;XOR;171;50,000000;158400;
Sigmoïde;XOR;172;50,000000;159000;
Sigmoïde;XOR;173;50,000000;161000;
Sigmoïde;XOR;174;50,000000;162000;
Sigmoïde;XOR;175;50,000000;163700;
Sigmoïde;XOR;176;50,000000;191100;
Sigmoïde;XOR;177;50,000000;311500;
Sigmoïde;XOR;178;50,000000;165600;
Sigmoïde;XOR;179;50,000000;262500;
Sigmoïde;XOR;180;50,000000;166200;
Sigmoïde;XOR;181;50,000000;166900;
Sigmoïde;XOR;182;50,000000;168300;
Sigmoïde;XOR;183;50,000000;170300;
Sigmoïde;XOR;184;50,000000;171400;
Sigmoïde;XOR;185;50,000000;172400;
Sigmoïde;XOR;186;50,000000;172100;
Sigmoïde;XOR;187;50,000000;173800;
Sigmoïde;XOR;188;50,000000;178600;
Sigmoïde;XOR;189;50,000000;211500;
Sigmoïde;XOR;190;50,000000;211500;
