Fonction;Operation;nbIteration;Taux de réussite (%);Temps d'entrainement(nanosecondes);
Sigmoïde;OR;153;100,000000;139200;
Sigmoïde;OR;154;100,000000;145100;
Sigmoïde;OR;155;100,000000;141100;
Sigmoïde;OR;156;100,000000;141900;
Sigmoïde;OR;157;100,000000;174300;
Sigmoïde;OR;158;100,000000;142500;
Sigmoïde;OR;159;100,000000;144300;
Sigmoïde;OR;160;100,000000;144700;
Sigmoïde;OR;161;100,000000;167500;
Sigmoïde;OR;162;100,000000;157300;
Sigmoïde;OR;163;100,000000;158400;
Sigmoïde;OR;164;100,000000;159200;
Sigmoïde;OR;165;100,000000;160400;
Sigmoïde;OR;166;100,000000;160100;
Sigmoïde;OR;167;100,000000;166200;
Sigmoïde;OR;168;100,000000;162800;
Sigmoïde;OR;169;100,000000;164100;
Sigmoïde;OR;170;100,000000;165000;
Sigmoïde;OR;171;100,000000;165700;
Sigmoïde;OR;172;100,000000;166700;
Sigmoïde;OR;173;100,000000;167800;
Sigmoïde;OR;174;100,000000;168700;
Sigmoïde;OR;175;100,000000;169300;
Sigmoïde;OR;176;100,000000;170600;
Sigmoïde;OR;177;100,000000;171700;
Sigmoïde;OR;178;100,000000;172700;
Sigmoïde;OR;179;100,000000;177100;
Sigmoïde;OR;180;100,000000;175200;
Sigmoïde;OR;181;100,000000;176100;
Sigmoïde;OR;182;100,000000;178400;
Sigmoïde;OR;183;100,000000;176400;
Sigmoïde;OR;184;100,000000;177600;
Sigmoïde;OR;185;100,000000;178300;
Sigmoïde;OR;186;100,000000;180500;
Sigmoïde;OR;187;100,000000;181400;
Sigmoïde;OR;188;100,000000;182500;
Sigmoïde;OR;189;100,000000;184000;
Sigmoïde;OR;190;100,000000;187900;
Sigmoïde;OR;191;100,000000;185600;
Sigmoïde;OR;192;100,000000;185800;
Sigmoïde;OR;193;100,000000;187900;
Sigmoïde;OR;194;100,000000;189600;
Sigmoïde;OR;195;100,000000;190700;
Sigmoïde;OR;196;100,000000;189100;
Sigmoïde;OR;197;100,000000;191400;
Sigmoïde;OR;198;100,000000;192600;
Sigmoïde;OR;199;100,000000;193000;
Sigmoïde;OR;200;100,000000;198200;
Sigmoïde;OR;201;100,000000;195800;
Sigmoïde;OR;202;100,000000;196700;
Sigmoïde;OR;203;100,000000;197500;
Sigmoïde;OR;204;100,000000;198300;
Sigmoïde;OR;205;100,000000;199200;
Sigmoïde;OR;206;100,000000;200600;
Sigmoïde;OR;207;100,000000;200900;
Sigmoïde;OR;208;100,000000;201700;
Sigmoïde;OR;209;100,000000;203100;
Sigmoïde;OR;210;100,000000;210100;
Sigmoïde;OR;211;100,000000;204400;
Sigmoïde;OR;212;100,000000;206100;
Sigmoïde;OR;213;100,000000;206200;
Sigmoïde;OR;214;100,000000;207600;
Sigmoïde;OR;215;100,000000;208100;
Sigmoïde;OR;216;100,000000;210400;
Sigmoïde;OR;217;100,000000;211400;
Sigmoïde;OR;218;100,000000;212200;
Sigmoïde;OR;219;100,000000;217800;
Sigmoïde;OR;220;100,000000;213000;
Sigmoïde;OR;221;100,000000;214700;
Sigmoïde;OR;222;100,000000;216300;
Sigmoïde;OR;223;100,000000;215300;
Sigmoïde;OR;224;100,000000;217600;
Sigmoïde;OR;225;100,000000;218900;
Sigmoïde;OR;226;100,000000;220200;
Sigmoïde;OR;227;100,000000;221300;
Sigmoïde;OR;228;100,000000;223400;
Sigmoïde;OR;229;100,000000;222600;
Sigmoïde;OR;230;100,000000;224000;
Sigmoïde;OR;231;100,000000;335200;
Sigmoïde;OR;232;100,000000;236100;
Sigmoïde;OR;233;100,000000;268100;
Sigmoïde;OR;234;100,000000;387700;
Sigmoïde;OR;235;100,000000;320200;
Sigmoïde;OR;236;100,000000;246800;
Sigmoïde;OR;237;100,000000;230700;
Sigmoïde;OR;238;100,000000;394900;
Sigmoïde;OR;239;100,000000;391100;
